ActSalePrice,SalePriceRidge,SalePriceGradBoost,SalePriceBagging,SalePriceRandFor,SalePriceXgboost
208500,207565.8896584933,204628.33006953678,202989.589929845,207172.81733975364,209610.02
181500,187083.42191706816,176425.85928544513,181499.99999999988,178038.3970541573,180404.14
223500,220332.62583120904,206374.13516597502,214690.20256449206,217296.27775962665,220945.38
140000,184737.78774250596,154088.64534886566,142533.42241556925,155039.0839558174,140669.16
250000,289052.4734814512,278603.2332117418,259399.82379467034,259599.41442490026,259727.72
143000,146503.06825764547,144149.27785052327,143293.28083035568,146149.78111735705,144916.78
307000,269448.3065248312,297755.41608814657,303022.6628553091,306058.1851430442,301961.38
200000,212027.73665919944,214843.58593088217,211283.69059827735,215475.04394563768,200946.6
129900,146124.4923247159,136872.85148532497,139511.7586463808,139715.11820450376,130216.375
118000,123795.78185481032,122408.42563139988,128398.71331159874,117783.72508908303,118057.1
129500,126466.29981402059,130028.01223847398,128868.24392709485,130200.93696460765,127814.73
345000,374398.7147766403,356605.339849649,348170.4294989409,340722.17404700053,345652.78
144000,128395.31212247288,135584.0048953823,137115.23610324346,135753.8135611822,142633.61
279500,227184.550748591,234705.56974334765,260366.60166123929,257183.1369688994,266001.38
157000,150934.30944976755,151034.70604796105,155240.630437952,153462.20829344576,156417.55
132000,122813.41961558067,135796.9959181802,166526.15329453794,155543.5624503681,136799.81
149000,158087.46782044158,152004.384233757,150826.96012683242,146785.61301182408,148070.55
90000,98265.80986354077,98465.69499782496,100666.07501761333,100786.80218903272,91910.96
159000,145145.28139016675,153440.18552362267,152472.75414633966,156349.94479142711,157664.92
139000,133148.81940067842,136229.76389916777,138849.2665650619,137474.38191201683,138263.03
325300,325371.7702389494,325110.55927279737,323090.36863985076,316943.3153529877,330067.4
139400,121927.67460043292,137148.71676870724,156312.43160340888,143384.36585624985,137935.08
230000,228846.57840478086,237448.65786783252,232417.03281369462,226577.36456850378,230879.3
129900,117160.39525649225,125205.79266898551,134024.25150277218,141234.37715777845,122048.336
154000,151957.92847169074,147995.62714077567,151457.0373600861,148402.7642039413,153381.61
256300,249551.8472797231,249374.5283143349,261458.214451157,251243.7079851879,252132.45
134800,132096.96240877773,129683.65617497369,132585.96451098716,129089.71898628185,133771.11
306000,297123.8526221155,312983.2739399149,314216.6944637142,305069.8017703873,311418.34
207500,176334.81006379324,194467.03416307573,191778.23013724326,193547.5388401184,208095.89
68500,73577.16143509698,74953.12865221956,69136.04426295377,74030.60179821776,70538.484
40000,81398.46484380096,97739.2477356499,108167.52175695608,101344.560110467,108030.82
149350,138329.54076978695,143553.77022015525,150632.8226004612,144971.6941903889,146683.61
